,Year,ArtsSciences,Major,Count
1,2025,2951,Stats,40
2,2025,2951,Math,22
3,2025,2951,Applied_Math,18
4,2025,2951,Data_Analytics,38
5,2024,2956,Stats,39
6,2024,2956,Math,25
7,2024,2956,Applied_Math,18
8,2024,2956,Data_Analytics,36
9,2023,2979,Stats,38
10,2023,2979,Math,30
11,2023,2979,Applied_Math,19
12,2023,2979,Data_Analytics,23
13,2022,2964,Stats,48
14,2022,2964,Math,26
15,2022,2964,Applied_Math,27
16,2022,2964,Data_Analytics,11
17,2021,2874,Stats,53
18,2021,2874,Math,21
19,2021,2874,Applied_Math,34
20,2021,2874,Data_Analytics,NA
21,2020,2888,Stats,56
22,2020,2888,Math,26
23,2020,2888,Applied_Math,25
24,2020,2888,Data_Analytics,NA
25,2019,2894,Stats,57
26,2019,2894,Math,33
27,2019,2894,Applied_Math,23
28,2019,2894,Data_Analytics,NA
29,2018,2848,Stats,54
30,2018,2848,Math,31
31,2018,2848,Applied_Math,32
32,2018,2848,Data_Analytics,NA
33,2017,2716,Stats,56
34,2017,2716,Math,32
35,2017,2716,Applied_Math,37
36,2017,2716,Data_Analytics,NA
37,2016,2610,Stats,43
38,2016,2610,Math,46
39,2016,2610,Applied_Math,27
40,2016,2610,Data_Analytics,NA
41,2015,2563,Stats,47
42,2015,2563,Math,39
43,2015,2563,Applied_Math,18
44,2015,2563,Data_Analytics,NA
45,2014,2639,Stats,34
46,2014,2639,Math,44
47,2014,2639,Applied_Math,12
48,2014,2639,Data_Analytics,NA
49,2013,2791,Stats,32
50,2013,2791,Math,56
51,2013,2791,Applied_Math,9
52,2013,2791,Data_Analytics,NA
53,2012,2783,Stats,34
54,2012,2783,Math,55
55,2012,2783,Applied_Math,5
56,2012,2783,Data_Analytics,NA
57,2011,2672,Stats,24
58,2011,2672,Math,63
59,2011,2672,Applied_Math,4
60,2011,2672,Data_Analytics,NA
61,2010,2472,Stats,11
62,2010,2472,Math,52
63,2010,2472,Applied_Math,NA
64,2010,2472,Data_Analytics,NA
65,2009,2198,Stats,NA
66,2009,2198,Math,75
67,2009,2198,Applied_Math,NA
68,2009,2198,Data_Analytics,NA
69,2008,2182,Stats,NA
70,2008,2182,Math,73
71,2008,2182,Applied_Math,NA
72,2008,2182,Data_Analytics,NA
73,2007,2105,Stats,NA
74,2007,2105,Math,54
75,2007,2105,Applied_Math,NA
76,2007,2105,Data_Analytics,NA